ACCOUNT,ACCOUNT (L0),ACCOUNT (L1),ACCOUNT (L2),ACCOUNT (L3),ACCOUNT (L4),ACCOUNT (L5),ACCOUNT_CRD_INDICATOR,ACCOUNT_PK
LI % of Assets,LI % of Assets,LI % of Assets,LI % of Assets,LI % of Assets,LI % of Assets,LI % of Assets,FPNA,;L0LI % of Assets;L1LI % of Assets;L2LI % of Assets;L3LI % of Assets;L4LI % of Assets;L5LI % of Assets;
LI % of Assets,LI % of Assets,LI % of Assets,LI % of Assets,LI % of Assets,LI % of Assets,LI % of Assets,WRB,;L0LI % of Assets;L1LI % of Assets;L2LI % of Assets;L3LI % of Assets;L4LI % of Assets;L5LI % of Assets;
LI bps,LI bps,LI bps,LI bps,LI bps,LI bps,LI bps,CIB,;L0LI bps;L1LI bps;L2LI bps;L3LI bps;L4LI bps;L5LI bps;
LI bps,LI bps,LI bps,LI bps,LI bps,LI bps,LI bps,FPNA,;L0LI bps;L1LI bps;L2LI bps;L3LI bps;L4LI bps;L5LI bps;
LI bps,LI bps,LI bps,LI bps,LI bps,LI bps,LI bps,WRB,;L0LI bps;L1LI bps;L2LI bps;L3LI bps;L4LI bps;L5LI bps;
LIQUIDITY PRICING CHARGE,Income,Net Interest Income,Interest Payable,Funding Cost Charge / Credit,Funding Cost Charge / Credit,LIQUIDITY PRICING CHARGE,FPNA,;L0Income;L1Net Interest Income;L2Interest Payable;L3Funding Cost Charge / Credit;L4Funding Cost Charge / Credit;L5LIQUIDITY PRICING CHARGE;
LIQUIDITY PRICING CREDIT,Income,Net Interest Income,Interest Payable,Funding Cost Charge / Credit,Funding Cost Charge / Credit,LIQUIDITY PRICING CREDIT,FPNA,;L0Income;L1Net Interest Income;L2Interest Payable;L3Funding Cost Charge / Credit;L4Funding Cost Charge / Credit;L5LIQUIDITY PRICING CREDIT;
Leave Encashment,Total Cost,Incurred Cost,Controllable Cost,Staff Costs exc Bonus,Leave Encashment,Leave Encashment,CIB,;L0Total Cost;L1Incurred Cost;L2Controllable Cost;L3Staff Costs exc Bonus;L4Leave Encashment;L5Leave Encashment;
Leave Encashment,Total Cost,Incurred Cost,Direct Manageable Costs,Staff ex Bonus & Comm,Leave Encashment,Leave Encashment,WRB,;L0Total Cost;L1Incurred Cost;L2Direct Manageable Costs;L3Staff ex Bonus & Comm;L4Leave Encashment;L5Leave Encashment;
Leave encashment,Total Cost,Directly Controllable Costs,Staff Costs exc Bonus,Leave Encashment,Leave Encashment,Leave encashment,FPNA,;L0Total Cost;L1Directly Controllable Costs;L2Staff Costs exc Bonus;L3Leave Encashment;L4Leave Encashment;L5Leave encashment;
Legal,Total Cost,Service Charge,Functions,"Risk, CFCR & Legal",Legal,Legal,FPNA,";L0Total Cost;L1Service Charge;L2Functions;L3Risk, CFCR & Legal;L4Legal;L5Legal;"
Legal,Total Cost,Service Charge,Legal,Legal,Legal,Legal,CIB,;L0Total Cost;L1Service Charge;L2Legal;L3Legal;L4Legal;L5Legal;
Legal,Total Cost,Service Charge,Support Functions,Legal,Legal,Legal,WRB,;L0Total Cost;L1Service Charge;L2Support Functions;L3Legal;L4Legal;L5Legal;
Legal Fees,Total Cost,Directly Controllable Costs,Non Staff Costs,Legal & Professional Fees,Legal & Professional Fees,Legal Fees,FPNA,;L0Total Cost;L1Directly Controllable Costs;L2Non Staff Costs;L3Legal & Professional Fees;L4Legal & Professional Fees;L5Legal Fees;
Legal Fees,Total Cost,Incurred Cost,Controllable Cost,Legal & Professional Fees,Legal Fees,Legal Fees,CIB,;L0Total Cost;L1Incurred Cost;L2Controllable Cost;L3Legal & Professional Fees;L4Legal Fees;L5Legal Fees;
Legal Fees,Total Cost,Incurred Cost,Direct Manageable Costs,Legal & Professional Fees,Legal Fees,Legal Fees,WRB,;L0Total Cost;L1Incurred Cost;L2Direct Manageable Costs;L3Legal & Professional Fees;L4Legal Fees;L5Legal Fees;
Liabilities FTP %,Liabilities FTP %,Liabilities FTP %,Liabilities FTP %,Liabilities FTP %,Liabilities FTP %,Liabilities FTP %,WRB,;L0Liabilities FTP %;L1Liabilities FTP %;L2Liabilities FTP %;L3Liabilities FTP %;L4Liabilities FTP %;L5Liabilities FTP %;
Liabilities GIM %,Liabilities GIM %,Liabilities GIM %,Liabilities GIM %,Liabilities GIM %,Liabilities GIM %,Liabilities GIM %,WRB,;L0Liabilities GIM %;L1Liabilities GIM %;L2Liabilities GIM %;L3Liabilities GIM %;L4Liabilities GIM %;L5Liabilities GIM %;
Liabilities NIM %,Liabilities NIM %,Liabilities NIM %,Liabilities NIM %,Liabilities NIM %,Liabilities NIM %,Liabilities NIM %,WRB,;L0Liabilities NIM %;L1Liabilities NIM %;L2Liabilities NIM %;L3Liabilities NIM %;L4Liabilities NIM %;L5Liabilities NIM %;
Licences/Central Bank Fees,Total Cost,Incurred Cost,Controllable Cost,Other Direct Costs,Licences/Central Bank Fees,Licences/Central Bank Fees,CIB,;L0Total Cost;L1Incurred Cost;L2Controllable Cost;L3Other Direct Costs;L4Licences/Central Bank Fees;L5Licences/Central Bank Fees;
Liquidity - HQLA,Income,Fee Income,Liquidity - HQLA,Liquidity - HQLA,Liquidity - HQLA,Liquidity - HQLA,CIB,;L0Income;L1Fee Income;L2Liquidity - HQLA;L3Liquidity - HQLA;L4Liquidity - HQLA;L5Liquidity - HQLA;
Liquidity - Inter Seg,Income,Fee Income,Liquidity - Inter Seg,Liquidity - Inter Seg,Liquidity - Inter Seg,Liquidity - Inter Seg,CIB,;L0Income;L1Fee Income;L2Liquidity - Inter Seg;L3Liquidity - Inter Seg;L4Liquidity - Inter Seg;L5Liquidity - Inter Seg;
Liquidity - MREL,Income,Fee Income,Liquidity - MREL,Liquidity - MREL,Liquidity - MREL,Liquidity - MREL,CIB,;L0Income;L1Fee Income;L2Liquidity - MREL;L3Liquidity - MREL;L4Liquidity - MREL;L5Liquidity - MREL;
Liquidity Pool - Hqla Income,Income,Non Interest Income,NFI - Enhanced F,Liquidity Pool - Hqla Income,Liquidity Pool - Hqla Income,Liquidity Pool - Hqla Income,WRB,;L0Income;L1Non Interest Income;L2NFI - Enhanced F;L3Liquidity Pool - Hqla Income;L4Liquidity Pool - Hqla Income;L5Liquidity Pool - Hqla Income;
Liquidity Pool - Hqla Income,Income,Non Interest Income,Other Non Int Income,C&O Allocation,Liquidity Pool,Liquidity Pool - Hqla Income,FPNA,;L0Income;L1Non Interest Income;L2Other Non Int Income;L3C&O Allocation;L4Liquidity Pool;L5Liquidity Pool - Hqla Income;
Liquidity Pool - Impairments,Impairments,Other Impairment,LI - Enhanced F,Liquidity Pool - Impairments,Liquidity Pool - Impairments,Liquidity Pool - Impairments,WRB,;L0Impairments;L1Other Impairment;L2LI - Enhanced F;L3Liquidity Pool - Impairments;L4Liquidity Pool - Impairments;L5Liquidity Pool - Impairments;
Liquidity Pool - Intersegment Value Transfer Incom,Income,Non Interest Income,NFI - Enhanced F,Liquidity Pool - Intersegment Value Transfer Incom,Liquidity Pool - Intersegment Value Transfer Incom,Liquidity Pool - Intersegment Value Transfer Incom,WRB,;L0Income;L1Non Interest Income;L2NFI - Enhanced F;L3Liquidity Pool - Intersegment Value Transfer Incom;L4Liquidity Pool - Intersegment Value Transfer Incom;L5Liquidity Pool - Intersegment Value Transfer Incom;
Liquidity Pool - Intersegment Value Transfer Incom,Income,Non Interest Income,Other Non Int Income,C&O Allocation,Liquidity Pool,Liquidity Pool - Intersegment Value Transfer Incom,FPNA,;L0Income;L1Non Interest Income;L2Other Non Int Income;L3C&O Allocation;L4Liquidity Pool;L5Liquidity Pool - Intersegment Value Transfer Incom;
Liquidity Pool - MREL Cost,Income,Non Interest Income,Other Non Int Income,C&O Allocation,Liquidity Pool,Liquidity Pool - MREL Cost,FPNA,;L0Income;L1Non Interest Income;L2Other Non Int Income;L3C&O Allocation;L4Liquidity Pool;L5Liquidity Pool - MREL Cost;
Liquidity Pool - Mrel Cost,Income,Non Interest Income,NFI - Enhanced F,Liquidity Pool - Mrel Cost,Liquidity Pool - Mrel Cost,Liquidity Pool - Mrel Cost,WRB,;L0Income;L1Non Interest Income;L2NFI - Enhanced F;L3Liquidity Pool - Mrel Cost;L4Liquidity Pool - Mrel Cost;L5Liquidity Pool - Mrel Cost;
Liquidity Pool – MREL AT1 Cost,P&L Appropriation,P&L Appropriation,P&L Appropriation,Liquidity Pool – MREL AT1 Cost,Liquidity Pool – MREL AT1 Cost,Liquidity Pool – MREL AT1 Cost,WRB,;L0P&L Appropriation;L1P&L Appropriation;L2P&L Appropriation;L3Liquidity Pool – MREL AT1 Cost;L4Liquidity Pool – MREL AT1 Cost;L5Liquidity Pool – MREL AT1 Cost;
Loans To Customers Rev Repo,Non-Group Assets,Funded Assets,Loans Rev Repo,Loans To Customers Rev Repo,Loans To Customers Rev Repo,Loans To Customers Rev Repo,CIB,;L0Non-Group Assets;L1Funded Assets;L2Loans Rev Repo;L3Loans To Customers Rev Repo;L4Loans To Customers Rev Repo;L5Loans To Customers Rev Repo;
Loans to Banks,Non-Group Assets,PE Assets,PE Assets,Loans to Banks,Loans to Banks,Loans to Banks,WRB,;L0Non-Group Assets;L1PE Assets;L2PE Assets;L3Loans to Banks;L4Loans to Banks;L5Loans to Banks;
Loans to Banks Interbank,Non-Group Assets,Funded Assets,Loans to Banks,Loans to Banks Interbank,Loans to Banks Interbank,Loans to Banks Interbank,FPNA,;L0Non-Group Assets;L1Funded Assets;L2Loans to Banks;L3Loans to Banks Interbank;L4Loans to Banks Interbank;L5Loans to Banks Interbank;
Loans to Banks OCC,Non-Group Assets,Funded Assets,Loans to Banks,Loans to Banks OCC,Loans to Banks OCC,Loans to Banks OCC,FPNA,;L0Non-Group Assets;L1Funded Assets;L2Loans to Banks;L3Loans to Banks OCC;L4Loans to Banks OCC;L5Loans to Banks OCC;
Loans to Banks Other,Non-Group Assets,Funded Assets,Loans Other,Loans to Banks Other,Loans to Banks Other,Loans to Banks Other,CIB,;L0Non-Group Assets;L1Funded Assets;L2Loans Other;L3Loans to Banks Other;L4Loans to Banks Other;L5Loans to Banks Other;
Loans to Banks Other,Non-Group Assets,Funded Assets,Loans Rev Repo,Loans to Banks Rev Repo,Loans to Banks Rev Repo,Loans to Banks Other,CIB,;L0Non-Group Assets;L1Funded Assets;L2Loans Rev Repo;L3Loans to Banks Rev Repo;L4Loans to Banks Rev Repo;L5Loans to Banks Other;
Loans to Banks Rev Repo,Non-Group Assets,Funded Assets,Loans to Banks,Loans to Banks Rev Repo,Loans to Banks Rev Repo,Loans to Banks Rev Repo,FPNA,;L0Non-Group Assets;L1Funded Assets;L2Loans to Banks;L3Loans to Banks Rev Repo;L4Loans to Banks Rev Repo;L5Loans to Banks Rev Repo;
Loans to Cust Central Bank,Non-Group Assets,Funded Assets,Loans to Customers,Loans to Cust Central Bank,Loans to Cust Central Bank,Loans to Cust Central Bank,FPNA,;L0Non-Group Assets;L1Funded Assets;L2Loans to Customers;L3Loans to Cust Central Bank;L4Loans to Cust Central Bank;L5Loans to Cust Central Bank;
Loans to Cust Central Bank Rev Repo,Non-Group Assets,Funded Assets,Loans to Customers,Loans to Cust Central Bank Rev Repo,Loans to Cust Central Bank Rev Repo,Loans to Cust Central Bank Rev Repo,FPNA,;L0Non-Group Assets;L1Funded Assets;L2Loans to Customers;L3Loans to Cust Central Bank Rev Repo;L4Loans to Cust Central Bank Rev Repo;L5Loans to Cust Central Bank Rev Repo;
Loans to Cust Other,Non-Group Assets,Funded Assets,Loans to Customers,Loans to Cust Other,Loans to Cust Other,Loans to Cust Other,FPNA,;L0Non-Group Assets;L1Funded Assets;L2Loans to Customers;L3Loans to Cust Other;L4Loans to Cust Other;L5Loans to Cust Other;
Loans to Cust Other Rev Repo,Non-Group Assets,Funded Assets,Loans to Customers,Loans to Cust Other Rev Repo,Loans to Cust Other Rev Repo,Loans to Cust Other Rev Repo,FPNA,;L0Non-Group Assets;L1Funded Assets;L2Loans to Customers;L3Loans to Cust Other Rev Repo;L4Loans to Cust Other Rev Repo;L5Loans to Cust Other Rev Repo;
Loans to Customers,Non-Group Assets,PE Assets,PE Assets,Loans to Customers,Loans to Customers,Loans to Customers,WRB,;L0Non-Group Assets;L1PE Assets;L2PE Assets;L3Loans to Customers;L4Loans to Customers;L5Loans to Customers;
Loans to Customers Other,Non-Group Assets,Funded Assets,Loans Other,Loans to Customers Other,Loans to Customers Other,Loans to Customers Other,CIB,;L0Non-Group Assets;L1Funded Assets;L2Loans Other;L3Loans to Customers Other;L4Loans to Customers Other;L5Loans to Customers Other;
MREL AT1 Cost,P&L Appropriation,MREL AT1 Cost,MREL AT1 Cost,MREL AT1 Cost,MREL AT1 Cost,MREL AT1 Cost,CIB,;L0P&L Appropriation;L1MREL AT1 Cost;L2MREL AT1 Cost;L3MREL AT1 Cost;L4MREL AT1 Cost;L5MREL AT1 Cost;
Margin %,Margin %,Margin %,Margin %,Margin %,Margin %,Margin %,CIB,;L0Margin;L1Margin;L2Margin;L3Margin;L4Margin;L5Margin;
Margin %,Margin %,Margin %,Margin %,Margin %,Margin %,Margin %,FPNA,;L0Margin;L1Margin;L2Margin;L3Margin;L4Margin;L5Margin;
Margin %,Margin %,Margin %,Margin %,Margin %,Margin %,Margin %,MOH,;L0Margin;L1Margin;L2Margin;L3Margin;L4Margin;L5Margin;
Margin %,Margin %,Margin %,Margin %,Margin %,Margin %,Margin %,WRB,;L0Margin;L1Margin;L2Margin;L3Margin;L4Margin;L5Margin;
Market Data Services,Total Cost,Directly Controllable Costs,Non Staff Costs,"Communications, Postage & Printing",Market Data Services,Market Data Services,FPNA,";L0Total Cost;L1Directly Controllable Costs;L2Non Staff Costs;L3Communications, Postage & Printing;L4Market Data Services;L5Market Data Services;"
Market Data Services,Total Cost,Incurred Cost,Controllable Cost,Market Data Services,Market Data Services,Market Data Services,CIB,;L0Total Cost;L1Incurred Cost;L2Controllable Cost;L3Market Data Services;L4Market Data Services;L5Market Data Services;
Market Data Services,Total Cost,Incurred Cost,Direct Manageable Costs,Other Expenses,Market Data Services,Market Data Services,WRB,;L0Total Cost;L1Incurred Cost;L2Direct Manageable Costs;L3Other Expenses;L4Market Data Services;L5Market Data Services;
Market RWA - BAU,Risk Weighted Assets,Market RWA,Market RWA,Market RWA - BAU,Market RWA - BAU,Market RWA - BAU,CIB,;L0Risk Weighted Assets;L1Market RWA;L2Market RWA;L3Market RWA - BAU;L4Market RWA - BAU;L5Market RWA - BAU;
Market RWA - BAU,Risk Weighted Assets,Market RWA,Market RWA,Market RWA - BAU,Market RWA - BAU,Market RWA - BAU,FPNA,;L0Risk Weighted Assets;L1Market RWA;L2Market RWA;L3Market RWA - BAU;L4Market RWA - BAU;L5Market RWA - BAU;
Market RWA - Models,Risk Weighted Assets,Market RWA,Market RWA,Market RWA - Models,Market RWA - Models,Market RWA - Models,CIB,;L0Risk Weighted Assets;L1Market RWA;L2Market RWA;L3Market RWA - Models;L4Market RWA - Models;L5Market RWA - Models;
Market RWA - Models,Risk Weighted Assets,Market RWA,Market RWA,Market RWA - Models,Market RWA - Models,Market RWA - Models,FPNA,;L0Risk Weighted Assets;L1Market RWA;L2Market RWA;L3Market RWA - Models;L4Market RWA - Models;L5Market RWA - Models;
Market RWA - Others,Risk Weighted Assets,Market RWA,Market RWA,Market RWA - Others,Market RWA - Others,Market RWA - Others,CIB,;L0Risk Weighted Assets;L1Market RWA;L2Market RWA;L3Market RWA - Others;L4Market RWA - Others;L5Market RWA - Others;
Market RWA - Others,Risk Weighted Assets,Market RWA,Market RWA,Market RWA - Others,Market RWA - Others,Market RWA - Others,FPNA,;L0Risk Weighted Assets;L1Market RWA;L2Market RWA;L3Market RWA - Others;L4Market RWA - Others;L5Market RWA - Others;
Market RWA Av,Risk Weighted Assets Av,Market RWA Av,Market RWA Av,Market RWA Av,Market RWA Av,Market RWA Av,CIB,;L0Risk Weighted Assets Av;L1Market RWA Av;L2Market RWA Av;L3Market RWA Av;L4Market RWA Av;L5Market RWA Av;
Market RWA Av,Risk Weighted Assets Av,Market RWA Av,Market RWA Av,Market RWA Av,Market RWA Av,Market RWA Av,FPNA,;L0Risk Weighted Assets Av;L1Market RWA Av;L2Market RWA Av;L3Market RWA Av;L4Market RWA Av;L5Market RWA Av;
Marketing,Total Cost,Directly Controllable Costs,Non Staff Costs,"Marketing, Adv & Sponsor","Marketing, Adv & Sponsor",Marketing,FPNA,";L0Total Cost;L1Directly Controllable Costs;L2Non Staff Costs;L3Marketing, Adv & Sponsor;L4Marketing, Adv & Sponsor;L5Marketing;"
Marketing Sponsorships,Total Cost,Incurred Cost,Controllable Cost,Other Direct Costs,Marketing Sponsorships,Marketing Sponsorships,CIB,;L0Total Cost;L1Incurred Cost;L2Controllable Cost;L3Other Direct Costs;L4Marketing Sponsorships;L5Marketing Sponsorships;
Minority Interest,Minority Interest,Minority Interest,Minority Interest,Minority Interest,Minority Interest,Minority Interest,FPNA,;L0Minority Interest;L1Minority Interest;L2Minority Interest;L3Minority Interest;L4Minority Interest;L5Minority Interest;
Minority Interests,Capital,Minority Interests,Minority Interests,Minority Interests,Minority Interests,Minority Interests,FPNA,;L0Capital;L1Minority Interests;L2Minority Interests;L3Minority Interests;L4Minority Interests;L5Minority Interests;
NFI %,NFI %,NFI %,NFI %,NFI %,NFI %,NFI %,CIB,;L0NFI %;L1NFI %;L2NFI %;L3NFI %;L4NFI %;L5NFI %;
NFI %,NFI %,NFI %,NFI %,NFI %,NFI %,NFI %,FPNA,;L0NFI %;L1NFI %;L2NFI %;L3NFI %;L4NFI %;L5NFI %;
NFI %,NFI %,NFI %,NFI %,NFI %,NFI %,NFI %,MOH,;L0NFI %;L1NFI %;L2NFI %;L3NFI %;L4NFI %;L5NFI %;
NFI %,NFI %,NFI %,NFI %,NFI %,NFI %,NFI %,WRB,;L0NFI %;L1NFI %;L2NFI %;L3NFI %;L4NFI %;L5NFI %;
NII Assets - ,NII Assets - ,NII Assets - ,NII Assets - ,NII Assets - ,NII Assets - ,NII Assets - ,FPNA,;L0NII Assets - ;L1NII Assets - ;L2NII Assets - ;L3NII Assets - ;L4NII Assets - ;L5NII Assets - ;
NII Assets - ,NII Assets - ,NII Assets - ,NII Assets - ,NII Assets - ,NII Assets - ,NII Assets - ,WRB,;L0NII Assets - ;L1NII Assets - ;L2NII Assets - ;L3NII Assets - ;L4NII Assets - ;L5NII Assets - ;
NII Liabilities - ,NII Liabilities - ,NII Liabilities - ,NII Liabilities - ,NII Liabilities - ,NII Liabilities - ,NII Liabilities - ,WRB,;L0NII Liabilities - ;L1NII Liabilities - ;L2NII Liabilities - ;L3NII Liabilities - ;L4NII Liabilities - ;L5NII Liabilities - ;
NIM %,NIM %,NIM %,NIM %,NIM %,NIM %,NIM %,CIB,;L0NIM %;L1NIM %;L2NIM %;L3NIM %;L4NIM %;L5NIM %;
NIM %,NIM %,NIM %,NIM %,NIM %,NIM %,NIM %,FPNA,;L0NIM %;L1NIM %;L2NIM %;L3NIM %;L4NIM %;L5NIM %;
NIM %,NIM %,NIM %,NIM %,NIM %,NIM %,NIM %,WRB,;L0NIM %;L1NIM %;L2NIM %;L3NIM %;L4NIM %;L5NIM %;
Net Interest Income,Income,DVA,Net Interest Income,Net Interest Income,Net Interest Income,Net Interest Income,CIB,;L0Income;L1DVA;L2Net Interest Income;L3Net Interest Income;L4Net Interest Income;L5Net Interest Income;
Net Interest Income,Income,Net Interest Income,Net Interest Income,Net Interest Income,Net Interest Income,Net Interest Income,CIB,;L0Income;L1Net Interest Income;L2Net Interest Income;L3Net Interest Income;L4Net Interest Income;L5Net Interest Income;
Net Position,Net Position,Net Position,Net Position,Net Position,NP,Net Position,CIB,;L0Net Position;L1Net Position;L2Net Position;L3Net Position;L4NP;L5Net Position;
Net Position,Net Position,Net Position,Net Position,Net Position,NP,Net Position,FPNA,;L0Net Position;L1Net Position;L2Net Position;L3Net Position;L4NP;L5Net Position;
Non Int Income Input,Income,Non Interest Income,Non Int Income Input,Non Int Income Input,Non Int Income Input,Non Int Income Input,FPNA,;L0Income;L1Non Interest Income;L2Non Int Income Input;L3Non Int Income Input;L4Non Int Income Input;L5Non Int Income Input;
Non-Group Assets Av,Non-Group Assets Av,Non-Group Assets Av,Non-Group Assets Av,Non-Group Assets Av,Non-Group Assets Av,Non-Group Assets Av,CIB,;L0Non-Group Assets Av;L1Non-Group Assets Av;L2Non-Group Assets Av;L3Non-Group Assets Av;L4Non-Group Assets Av;L5Non-Group Assets Av;
Non-Group Assets Av,Non-Group Assets Av,Non-Group Assets Av,Non-Group Assets Av,Non-Group Assets Av,Non-Group Assets Av,Non-Group Assets Av,FPNA,;L0Non-Group Assets Av;L1Non-Group Assets Av;L2Non-Group Assets Av;L3Non-Group Assets Av;L4Non-Group Assets Av;L5Non-Group Assets Av;
Non-Group Contingents,Non-Group Contingents,Non-Group Contingents,Non-Group Contingents,Non-Group Contingents,Non-Group Contingents,Non-Group Contingents,CIB,;L0Non-Group Contingents;L1Non-Group Contingents;L2Non-Group Contingents;L3Non-Group Contingents;L4Non-Group Contingents;L5Non-Group Contingents;
Non-Group Contingents,Non-Group Contingents,Non-Group Contingents,Non-Group Contingents,Non-Group Contingents,Non-Group Contingents,Non-Group Contingents,FPNA,;L0Non-Group Contingents;L1Non-Group Contingents;L2Non-Group Contingents;L3Non-Group Contingents;L4Non-Group Contingents;L5Non-Group Contingents;
Non-Group Contingents Av,Non-Group Contingents Av,Non-Group Contingents Av,Non-Group Contingents Av,Non-Group Contingents Av,Non-Group Contingents Av,Non-Group Contingents Av,CIB,;L0Non-Group Contingents Av;L1Non-Group Contingents Av;L2Non-Group Contingents Av;L3Non-Group Contingents Av;L4Non-Group Contingents Av;L5Non-Group Contingents Av;
Non-Group Contingents Av,Non-Group Contingents Av,Non-Group Contingents Av,Non-Group Contingents Av,Non-Group Contingents Av,Non-Group Contingents Av,Non-Group Contingents Av,FPNA,;L0Non-Group Contingents Av;L1Non-Group Contingents Av;L2Non-Group Contingents Av;L3Non-Group Contingents Av;L4Non-Group Contingents Av;L5Non-Group Contingents Av;
Non-Group Liabilities Av,Non-Group Liabilities Av,Non-Group Liabilities Av,Non-Group Liabilities Av,Non-Group Liabilities Av,Non-Group Liabilities Av,Non-Group Liabilities Av,CIB,;L0Non-Group Liabilities Av;L1Non-Group Liabilities Av;L2Non-Group Liabilities Av;L3Non-Group Liabilities Av;L4Non-Group Liabilities Av;L5Non-Group Liabilities Av;
Non-Group Liabilities Av,Non-Group Liabilities Av,Non-Group Liabilities Av,Non-Group Liabilities Av,Non-Group Liabilities Av,Non-Group Liabilities Av,Non-Group Liabilities Av,FPNA,;L0Non-Group Liabilities Av;L1Non-Group Liabilities Av;L2Non-Group Liabilities Av;L3Non-Group Liabilities Av;L4Non-Group Liabilities Av;L5Non-Group Liabilities Av;
Non-Grp Assets Other,Non-Group Assets,PE Assets,PE Assets,Non-Grp Assets Other,Non-Grp Assets Other,Non-Grp Assets Other,WRB,;L0Non-Group Assets;L1PE Assets;L2PE Assets;L3Non-Grp Assets Other;L4Non-Grp Assets Other;L5Non-Grp Assets Other;
Non-Grp Liabs Other,Non-Group Liabilities,PE Liabilities,PE Liabilities,Non-Grp Liabs Other,Non-Grp Liabs Other,Non-Grp Liabs Other,WRB,;L0Non-Group Liabilities;L1PE Liabilities;L2PE Liabilities;L3Non-Grp Liabs Other;L4Non-Grp Liabs Other;L5Non-Grp Liabs Other;
OB,Total Cost,Service Charge,BSC Others,BSC Others,OB,OB,FPNA,;L0Total Cost;L1Service Charge;L2BSC Others;L3BSC Others;L4OB;L5OB;
OP RoRWA %,OP RoRWA %,OP RoRWA %,OP RoRWA %,OP RoRWA %,OP RoRWA %,OP RoRWA %,CIB,;L0OP RoRWA %;L1OP RoRWA %;L2OP RoRWA %;L3OP RoRWA %;L4OP RoRWA %;L5OP RoRWA %;
OP RoRWA %,OP RoRWA %,OP RoRWA %,OP RoRWA %,OP RoRWA %,OP RoRWA %,OP RoRWA %,FPNA,;L0OP RoRWA %;L1OP RoRWA %;L2OP RoRWA %;L3OP RoRWA %;L4OP RoRWA %;L5OP RoRWA %;
OP RoRWA %,OP RoRWA %,OP RoRWA %,OP RoRWA %,OP RoRWA %,OP RoRWA %,OP RoRWA %,MOH,;L0OP RoRWA %;L1OP RoRWA %;L2OP RoRWA %;L3OP RoRWA %;L4OP RoRWA %;L5OP RoRWA %;
OP RoRWA %,OP RoRWA %,OP RoRWA %,OP RoRWA %,OP RoRWA %,OP RoRWA %,OP RoRWA %,WRB,;L0OP RoRWA %;L1OP RoRWA %;L2OP RoRWA %;L3OP RoRWA %;L4OP RoRWA %;L5OP RoRWA %;
OPS CIB Banking Recharges IN,Total Cost,Incurred Cost,T&O Recharges,Ops Recharges,Ops Client Coverage,OPS CIB Banking Recharges IN,CIB,;L0Total Cost;L1Incurred Cost;L2T&O Recharges;L3Ops Recharges;L4Ops Client Coverage;L5OPS CIB Banking Recharges IN;
OPS CIB Banking Recharges IN,Total Cost,T&O Recharges,T&O Recharges,T&O Recharges,Ops Recharges,OPS CIB Banking Recharges IN,FPNA,;L0Total Cost;L1T&O Recharges;L2T&O Recharges;L3T&O Recharges;L4Ops Recharges;L5OPS CIB Banking Recharges IN;
OPS CIB Banking Recharges OUT,Total Cost,T&O Recharges,T&O Recharges,T&O Recharges,Ops Recharges,OPS CIB Banking Recharges OUT,FPNA,;L0Total Cost;L1T&O Recharges;L2T&O Recharges;L3T&O Recharges;L4Ops Recharges;L5OPS CIB Banking Recharges OUT;
OPS CIB FM Recharges IN,Total Cost,Incurred Cost,T&O Recharges,Ops Recharges,Ops Client Coverage,OPS CIB FM Recharges IN,CIB,;L0Total Cost;L1Incurred Cost;L2T&O Recharges;L3Ops Recharges;L4Ops Client Coverage;L5OPS CIB FM Recharges IN;
OPS CIB FM Recharges IN,Total Cost,T&O Recharges,T&O Recharges,T&O Recharges,Ops Recharges,OPS CIB FM Recharges IN,FPNA,;L0Total Cost;L1T&O Recharges;L2T&O Recharges;L3T&O Recharges;L4Ops Recharges;L5OPS CIB FM Recharges IN;
OPS CIB FM Recharges OUT,Total Cost,T&O Recharges,T&O Recharges,T&O Recharges,Ops Recharges,OPS CIB FM Recharges OUT,FPNA,;L0Total Cost;L1T&O Recharges;L2T&O Recharges;L3T&O Recharges;L4Ops Recharges;L5OPS CIB FM Recharges OUT;
OPS CIB Oth Recharges IN,Total Cost,Incurred Cost,T&O Recharges,Ops Recharges,Ops Client Coverage,OPS CIB Oth Recharges IN,CIB,;L0Total Cost;L1Incurred Cost;L2T&O Recharges;L3Ops Recharges;L4Ops Client Coverage;L5OPS CIB Oth Recharges IN;
OPS CIB Oth Recharges IN,Total Cost,T&O Recharges,T&O Recharges,T&O Recharges,Ops Recharges,OPS CIB Oth Recharges IN,FPNA,;L0Total Cost;L1T&O Recharges;L2T&O Recharges;L3T&O Recharges;L4Ops Recharges;L5OPS CIB Oth Recharges IN;
OPS CIB Oth Recharges OUT,Total Cost,Incurred Cost,T&O Recharges,Ops Recharges,Ops Client Coverage,OPS CIB Oth Recharges OUT,CIB,;L0Total Cost;L1Incurred Cost;L2T&O Recharges;L3Ops Recharges;L4Ops Client Coverage;L5OPS CIB Oth Recharges OUT;
OPS CIB Oth Recharges OUT,Total Cost,T&O Recharges,T&O Recharges,T&O Recharges,Ops Recharges,OPS CIB Oth Recharges OUT,FPNA,;L0Total Cost;L1T&O Recharges;L2T&O Recharges;L3T&O Recharges;L4Ops Recharges;L5OPS CIB Oth Recharges OUT;
