Requester,Requester,Requester,Requester,Requester,Requester,Requester,Requester,Requester,Data Chapter,Data Chapter / Delivery Squad,Requester / BTP Tech,Requester / BTP Tech,Requester / Upstream Tech,Requester / Upstream Tech,Upstream Tech + BTP Tech,Upstream Tech + BTP Tech,Do Not Use - To be Deleted,Requester + Upstream Tech,Requester,Requester,Requester,Requester,Requester,BTP Tech,BTP Tech,BTP Tech,BTP Tech,Requester,Requester,Requester,Upstream Tech + BTP Tech,Upstream Tech + BTP Tech,Upstream Tech + BTP Tech,,,,,
FS_018,Controller Metrics,FDP (ACBS),ICON DQ / Control Metrics,Selva,Structured,fdp_df_idq_exceptions_prd,acbs_ic1c1,DQ report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Global,50000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,15 Days,,T+1,T+1 5:30 PM IST,Daily,15 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (DTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_idq_exceptions_prd,dtp_ic1c1,DQ report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Global,600000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,15 Days,,T+1,T+1 5:30 PM IST,Daily,15 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (eBBS),ICON DQ / Control Metrics,Selva,Structured,fdp_df_idq_exceptions_prd,ebbs_ic1c1,DQ report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Global,2000000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,15 Days,,T+1,T+1 5:30 PM IST,Daily,15 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (MILES),ICON DQ / Control Metrics,Selva,Structured,fdp_df_idq_exceptions_prd,miles_ic1c1,DQ report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Global,3000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,15 Days,,T+1,T+1 5:30 PM IST,Daily,15 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (OTP),ICON DQ / Control Metrics,Selva,Structured,fdp_df_idq_exceptions_prd,otp_ic1c1,DQ report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Global,530000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,15 Days,,T+1,T+1 5:30 PM IST,Daily,15 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FSDP (S2BL),ICON DQ / Control Metrics,Selva,Structured,fdp_df_idq_exceptions_prd,s2bl_ic1c1,DQ report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Global,12000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,15 Days,,T+1,T+1 5:30 PM IST,Daily,15 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (UTS),ICON DQ / Control Metrics,Selva,Structured,fdp_df_idq_exceptions_prd,uts_ic1c1,DQ report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Global,250000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,15 Days,,T+1,T+1 5:30 PM IST,Daily,15 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FDP (EBBS),ICON DQ / Control Metrics,Selva,Structured,fdp_df_idq_exceptions_prd,error_tbl,DQ report,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Global,200000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,15 Days,,T+1,T+1 5:30 PM IST,Daily,15 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FPSL (FM),ICON DQ / Control Metrics,Selva,Structured,SAPHANADB,/SCBANK/ISD_RECR,FPSL,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Global,20000000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,15 Days,,T+1,T+1 5:30 PM IST,Daily,15 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,FPSL (FM),ICON DQ / Control Metrics,Selva,Structured,SAPHANADB,/BA1/HFSPD,FPSL,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Global,200000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,15 Days,,T+1,T+1 5:30 PM IST,Daily,15 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,S4 GL,ICON DQ / Control Metrics,Selva,Structured,SAPABAP1,/FCB/OPASGNGRID,S4 BSS,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Global,3000000,Full Load,Remote table,2 Days,N/A,M+12,T+1 5:30 PM IST,Monthly,280 Days,,T+1,T+1 5:30 PM IST,Monthly,280 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,S4 GL,ICON DQ / Control Metrics,Selva,Structured,SAPABAP1,/FCB/SUBSTNGRID,S4 BSS,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Global,6000000,Full Load,Remote table,2 Days,N/A,M+12,T+1 5:30 PM IST,Monthly,280 Days,,T+1,T+1 5:30 PM IST,Monthly,280 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,S4 GL,ICON DQ / Control Metrics,Selva,Structured,SAPABAP1,ZFCBT_TLMBLKSTG,S4 BSS,Live,2/13/26,Yes,Moving all objects from client MI container to newly created iCon Container,Global,8000000,Full Load,Remote table,2 Days,N/A,M+12,T+1 5:30 PM IST,Monthly,280 Days,,T+1,T+1 5:30 PM IST,Monthly,280 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,POSTGRES,ICON DQ / Control Metrics,Selva,Structured,fdp_df_sre_reports_prd,fdp_df_auditentries,Postgres Tables,Live,31-Mar,Yes,Moving all objects from client MI container to newly created iCon Container,Global,20000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,15 Days,,T+1,T+1 5:30 PM IST,Daily,15 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,POSTGRES,ICON DQ / Control Metrics,Selva,Structured,fdp_df_sre_reports_prd,df_frmwrk_tp_audit_transaction,Postgres Tables,Live,31-Mar,Yes,Moving all objects from client MI container to newly created iCon Container,Global,20000,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,15 Days,,T+1,T+1 5:30 PM IST,Daily,15 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_018,Controller Metrics,POSTGRES,ICON DQ / Control Metrics,Selva,Structured,fdp_df_sre_reports_prd,df_frmwrk_country_master,Postgres Tables,Live,31-Mar,Yes,Moving all objects from client MI container to newly created iCon Container,Global,60,Full Load,Remote table,2 Days,N/A,T+1,T+1 5:30 PM IST,Daily,15 Days,,T+1,T+1 5:30 PM IST,Daily,15 Days,Internal,No,Yes,Yes,Yes,,,,,,
FS_067,FTP,TPACE,FTP & COL,Kalaiselvan / Selva,Structured,,/SCBANK/FTPMI_FTP_RFTP,TPACE data ,Not Prioritized,Mar-26,No,,,,Delta,,,,,,Daily,60-90 days,,T+1,,Daily,60-90 days,Internal,No,,Yes,Yes,,,,,,
FS_066,IRRBB,RCO IRRBB (via STARS),ALM Buckets with COA Linkage (aka Treasury Actuals),Srinivasan,Structured,stars_irrbb,irrbb_t_alm_buckets_stg,IRRBB Results,Not Prioritized,,,,Global,"24 columns, 960K rows",,,N/A,N/A,Data that falls into the prior month e.g. FinPeriod = prior month,tba,Monthly,12 months,Analysis of up to 12 months' data,,,,,Internal,No,tba,,,,,,,,
FS_066,IRRBB,RCO IRRBB (via STARS),ALM Buckets with COA Linkage (aka Treasury Actuals),Srinivasan,Structured,stars_irrbb,irrbb_v_coa_flat_links_stg ,Chart of Accounts,Not Prioritized,,,,Global,"3 columns, rows tba",,,N/A,N/A,,,Monthly,12 months,Analysis of up to 12 months' data,,,,,Internal,No,tba,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/B631/PAUDIT,BPC Reference data,Prioritized,,,,,,Full,,,,,,Daily,5 Years,,T+1,,Daily,5 Years,Internal,No,Yes,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/B631/TAUDIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,"/B631/HAUDIT, RSHIEDIR, RSHIEDIRT, RSTHIERNODE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,FCOMC_CATEGORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,FCOMC_CATEGORY_T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,RTC_ENTITY_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,RTC_ENTITY_T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,"/B631/HENTITY, RSHIEDIR, RSHIEDIRT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,"T856, RTC_EXT_T856",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,T856T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,"/B631/HFLOW, RSHIEDIR, RSHIEDIRT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,SKA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,SKAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,"HRRP_DIRECTORY, HRRP_NODE, HRRP_NODE_T",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/B631/PRGROUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/B631/TRGROUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,"/B631/HRGROUP, RSHIEDIR, RSHIEDIRT,RSTHIERNODE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/B631/PRTCCURR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/B631/TRTCCURR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,"/B631/HRTCCURR, RSHIEDIR, RSHIEDIRT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,FAGL_SEGM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,FAGL_SEGMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,ZTFI_DATAIKU_FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,ZFIPRODUCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,ZFIPRODUCTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,ZTFI_DATAIKU_FIN with Filter on IOBJNM = ZZPROD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/BI0/PFISCPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,T009C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,T009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,T009T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/BIC/PZCUSTOM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/BIC/TZCUSTOM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,"/BIC/HZCUSTOM1, RSHIEDIR, RSHIEDIRT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/BIC/PZCUSTOM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/BIC/TZCUSTOM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,"/BIC/HZCUSTOM2, RSHIEDIR, RSHIEDIRT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/BIC/PZCUSTOM3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/BIC/TZCUSTOM3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,"/BIC/HZCUSTOM3, RSHIEDIR, RSHIEDIRT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/BIC/PZCUSTOM4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/BIC/TZCUSTOM4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,"/BIC/HZCUSTOM4, RSHIEDIR, RSHIEDIRT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/BIC/PZCUSTOM5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/BIC/TZCUSTOM5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,"/BIC/HZCUSTOM5, RSHIEDIR, RSHIEDIRT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/BIC/PZCUSTOM6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/BIC/TZCUSTOM6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,"/BIC/HZCUSTOM6, RSHIEDIR, RSHIEDIRT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/BIC/PZCUSTOM7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/BIC/TZCUSTOM7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,"/BIC/HZCUSTOM7, RSHIEDIR, RSHIEDIRT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/BIC/PZCUSTOM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/BIC/TZCUSTOM8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,"/BIC/HZCUSTOM8, RSHIEDIR, RSHIEDIRT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/BIC/PZCUSTOM9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/BIC/TZCUSTOM9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/BIC/PZCUSTOM10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/BIC/TZCUSTOM10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,RTC_MODEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,RTC_MODEL_T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,FINSC_LEDGER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,FINSC_LEDGER_T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/B631/PTCURR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/B631/TTCURR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/B631/PRTCURR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/B631/TRTCURR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,ZFIOPERLOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,ZFIOPERLOCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,"/BIC/HZOPLOC, RSHIEDIR, RSHIEDIRT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/BIC/PZVIEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/BIC/TZVIEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,"/BIC/HZVIEW, RSHIEDIR, RSHIEDIRT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/BIC/PZFUNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/BIC/TZFUNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,"/BIC/HZFUNC, RSHIEDIR, RSHIEDIRT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,ZRTC_BIZ_PRODUTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,ZRTC_BIZ_PRODUTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,"/BIC/HZBIZPRD, RSHIEDIR, RSHIEDIRT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,ZRTC_BIZ_DESKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,ZRTC_BIZ_DESKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,"/BIC/HZBIZDSK, RSHIEDIR, RSHIEDIRT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/BIC/PZCURIDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/BIC/TZCURIDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/BIC/PZACCIDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/BIC/TZACCIDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,T009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,T004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,T004T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,CSKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,CSKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,ZTFI_DATAIKU_FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,TKA01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,TKA01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/B631/PPENTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,/B631/TPENTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,"/B631/HPENTITY, RSHIEDIR, RSHIEDIRT, RSTHIERNODE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FS_034, FS_035",Reference,"BPC, MDG, S4",Planning & Actuals Dimensions,Srinivasan,Structured,,CEPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
